Year,D2Inf,D2FoodInf,CPI,P1_Food,P2_Smoke,NonFood_PI,P3_Cloth,P4_House,House_PI,Rent_PI,HouseService_PI,Utility_PI,P5_Furniture,P6_Health,P7_Transportation,P8_Communication,P9_Culture,P10_Education,P11_Hotel,P12_Other,Goods_PI,Services_PI,Durable_PI,NonDurable_PI
77,,,,,,,,,,,,,,,,,,,,,,,,
78,,0.22,,,,,,,,,,,,,,,,,,,,,,
79,,0.09,,,,,,,,,,,,,,,,,,,,,,
80,,0.07,,,,,,,,,,,,,,,,,,,,,,
81,,0.19,,,,,,,,,,,,,,,,,,,,,,
82,,0.16,,,,,,,,,,,,,,,,,,,,,,
83,,0.14,15.42076547,,,,,,,,,,,,,,,,,,,,,
84,0.117,0.11,17.01543209,,,,,,,,,,,,,,,,,,,,,
85,0.137,0.13,19.03739302,,,,,,,,,,,,,,,,,,,,,
86,0.191,0.183333333,22.54693192,,,,,,,,,,,,,,,,,,,,,
87,0.252,0.253521127,28.26716223,,,,,,,,,,,,,,,,,,,,,
88,0.109,0.104868914,31.30699547,,,,,,,,,,,,,,,,,,,,,
89,0.137,0.125423729,35.18869393,,,,,,,,,,,,,,,,,,,,,
90,0.256,0.213855422,42.75169724,37.17951481,29.0571526,45.57843224,38.7466048,49.5217265,51.01412996,51.37704891,40.8935074,42.83994595,40.46425999,38.78892944,42.66201139,75.70859546,39.8559798,52.18524047,38.69914138,41.03965737,46.97452724,38.8920221,52.82737579,46.17641153
91,0.271,0.305210918,55.34245932,53.84762219,53.07584355,56.08435353,52.57250732,58.28380946,60.11735932,60.37863398,52.83126348,50.35120511,55.89805499,47.15209044,52.20490732,81.57964428,53.16203483,57.47553008,50.79073803,60.91992405,57.09178629,53.74357095,59.51635601,56.76116314
92,0.315,0.347908745,73.50278134,77.3454667,83.87296493,71.54259777,74.65279885,69.69056435,73.24018682,73.36161803,69.85386765,54.90896164,81.26006714,65.71553751,69.79897961,90.60178991,74.27423707,65.11313315,68.84924109,75.89859395,72.08608203,74.79764737,70.12253471,72.35383848
93,0.146,0.155148096,84.21950899,84.8001536,86.73040984,83.91229813,86.62696442,82.32749972,85.65483361,85.74952762,83.01412721,68.49738293,90.14174978,79.48322343,86.30506296,95.70974501,85.4994603,75.9362254,81.24448758,83.72911109,83.94170741,84.4734202,83.556674,83.99421196
94,0.119,0.11965812,93.58459569,93.14110973,89.38523008,93.84587346,94.37926725,94.17407289,95.28655696,95.37830295,92.72806154,89.46614645,95.82107329,91.54132275,94.93671196,98.69037587,94.917592,88.5246272,92.043709,90.33363337,93.80852691,93.37992211,94.1188959,93.76620386
95,0.091,0.090512541,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
96,0.089,0.115,108.2374508,112.2813434,106.8968783,106.7675276,106.0547601,107.3142146,106.8970526,106.907484,106.1082491,110.2816487,105.4162303,107.2056398,104.8975898,103.0966111,107.5050752,111.3079388,106.8474897,107.8559797,109.362302,107.0728821,105.3562704,110.3137073
97,0.269,0.365,137.3019904,153.6034483,216.3755564,130.6858956,137.4785383,125.3299224,126.6515503,126.6575736,126.1960813,115.9286751,150.743468,125.6041354,133.4230246,127.073726,154.2938011,130.8018775,129.9162465,145.4008658,147.7780481,126.4560321,166.5801617,145.717676
98,0.346,0.402,185.117622,219.6576926,281.0807493,171.6844243,197.8076323,155.0808289,155.8107657,155.7135419,163.1626588,149.8885079,225.0183482,158.1393448,195.8536746,146.6830299,224.5181061,159.3469311,181.9815643,199.5277452,213.0348468,156.2146641,259.2144968,206.790421
99,0.352,0.412,252.5554037,305.4889572,383.8495649,232.0976219,274.4408057,194.2867323,198.4932829,198.114951,227.1020707,164.3639207,329.6174988,205.3510872,324.2789271,170.8310992,319.8813418,193.6761447,235.9585049,274.1987161,305.8011316,197.4296152,470.8240756,283.2260814
,,,354.1,,,,,,,,,,,,,,,,,,,,,
