Year,Table,HHID,IndivNo,ActivityState,...6,...7
1363,P1,ADDRESS,COL01,COL11,,
1364,P1,ADDRESS,COL01,COL11,,
1365,P1,ADDRESS,COL01,COL11,,
1366,P1,ADDRESS,COL01,COL09,,
1367,P1,ADDRESS,COL01,COL09,,
1368,P1,ADDRESS,COL01,COL09,,
1369,P1,ADDRESS,COL01,COL09,,
1370,P1,ADDRESS,COL01,COL09,,
1371,P1,ADDRESS,COL01,COL09,,
1372,P1,ADDRESS,COL01,COL09,,
1373,P1,ADDRESS,COL01,COL09,,
1374,P4S1,ADDRESS,COL01,COL02,,
1375,P4S1,ADDRESS,COL01,COL02,,
1376,P4S1,ADDRESS,COL01,COL02,,
1377,P4S1,ADDRESS,COL01,COL02,,
1378,P4S1,ADDRESS,COL01,COL02,,
1379,P4S1,ADDRESS,COL01,COL02,,
1380,P4S1,ADDRESS,COL01,COL02,,
1381,P4S1,ADDRESS,COL01,COL02,,
1382,P4S1,ADDRESS,COL01,COL02,,
1383,P4S1,ADDRESS,COL01,COL02,,
1384,P4S01,Address,DYCOL01,DYCOL02,,
1385,P4S01,ADDRESS,DYCOL01,DYCOL02,,
1386,P4S01,Address,DYCOL01,DYCOL02,,
1387,P4S01,Address,DYCOL01,DYCOL02,,
1388,P4S01,Address,DYCOL01,DYCOL02,,
1389,P4S01,Address,DYCOL01,DYCOL02,,
1390,P4S01,Address,DYCOL01,DYCOL02,,
1391,P4S01,Address,DYCOL01,DYCOL02,,
1392,P4S01,Address,DYCOL01,DYCOL02,,
1393,P4S01,Address,DYCOL01,DYCOL02,,
1394,P4S01,Address,DYCOL01,DYCOL02,,
1395,P4S01,Address,DYCOL01,DYCOL02,,
1396,P4S01,Address,DYCOL01,DYCOL02,,
1397,P4S01,Address,DYCOL01,DYCOL02,,
1398,P4S01,Address,DYCOL01,DYCOL02,,
1399,P4S01,Address,DYCOL01,DYCOL02,,
