Year,Table,HHID,IndivNo,ActivityState,JobCode,NonWageWorkplaceActivity,CurrentlyInThisJob,WorkType,BSector,HoursPerDay,DayPerWeek,cost1,cost2,cost3,cost4,cost5,sell,AgriNetIncomeY
1363,P4S3,ADDRESS,COL01,,COL02,,COL03,,,,,COL04,COL05,COL06,COL07,,COL08,COL09
1364,P4S3,ADDRESS,COL01,,COL02,,COL03,,,,,COL04,COL05,COL06,COL07,,COL08,COL09
1365,P4S3,ADDRESS,COL01,,COL02,,COL03,,,,,COL04,COL05,COL06,COL07,,COL08,COL09
1366,P4S3,ADDRESS,COL01,,COL02,,COL03,,,,,COL04,COL05,COL06,COL07,,COL08,COL09
1367,P4S3,ADDRESS,COL01,,COL02,,COL03,,,,,COL04,COL05,COL06,COL07,,COL08,COL09
1368,P4S3,ADDRESS,COL01,,COL02,,COL03,,,,,COL04,COL05,COL06,COL07,,COL08,COL09
1369,P4S2,ADDRESS,COL01,,COL02,COL03,,COL04,COL05,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12
1370,P4S2,ADDRESS,COL01,,COL02,COL03,,COL04,COL05,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12
1371,P4S2,ADDRESS,COL01,,COL02,COL03,,COL04,COL05,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12
1372,P4S2,ADDRESS,COL01,,COL02,COL03,,COL04,COL05,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12
1373,P4S2,ADDRESS,COL01,,COL02,COL03,,COL04,COL05,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12
1374,P4S2,ADDRESS,COL01,COL02,COL03,COL04,,COL05,COL06,,,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1375,P4S2,ADDRESS,COL01,COL02,COL03,COL04,,COL05,COL06,,,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1376,P4S2,ADDRESS,COL01,COL02,COL03,COL04,,COL05,COL06,,,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1377,P4S2,ADDRESS,COL01,COL02,COL03,COL04,,COL05,COL06,,,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1378,P4S2,ADDRESS,COL01,COL02,COL03,COL04,,COL05,COL06,,,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1379,P4S2,ADDRESS,COL01,COL02,COL03,COL04,,COL05,COL06,,,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1380,P4S2,ADDRESS,COL01,COL02,COL03,COL04,,COL05,COL06,,,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1381,P4S2,ADDRESS,COL01,COL02,COL03,COL04,,COL05,COL06,,,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1382,P4S2,ADDRESS,COL01,COL02,COL03,COL04,,COL05,COL06,,,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1383,P4S2,ADDRESS,COL01,COL02,COL03,COL04,,COL05,COL06,,,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1384,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL08,DYCOL06,DYCOL07,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1385,P4S02,ADDRESS,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1386,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1387,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1388,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1389,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1390,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1391,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1392,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1393,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1394,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1395,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1396,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1397,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1398,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1399,P4S02,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
