Code,Item
53111,Refrigrator
53112,Freezer
53113,Washer
53114,Washer
53116,Oven
53128,Fan
53216,Fan
53129,Vacuum
53132,SewingM
53133,SewingM
53134,SewingM
71111,Car
71112,Car
71113,Car
71114,Car
71115,Car
71116,Car
71117,Car
72111,Car_Tire
72112,Car_Tire
72319,Car_Repair
72118,Car_Motor
71211,Motorcycle
71212,Motorcycle
71213,Motorcycle
71311,Bike
71312,Bike
71313,Bike
82113,Cellphone
91128,TV
91129,TV
91111,TV
91112,TV
91113,TV
91114,TV
91115,TV
91311,Computer
53125,AC
82111,Telephone
82112,Telephone
91116,RadioCassette
91122,RadioCassette
91117,VCR_DVD
91118,VCR_DVD
53122,Other
53123,Other
53124,Other
53126,Other
53127,Other
53131,Other
53136,Other
53137,Other
53215,Other
53217,Other
53218,Other
53219,Other
71214,Other
71411,Other
71412,Other
72113,Other
72114,Other
72115,Other
72116,Other
72117,Other
82114,Other
82115,Other
91123,Other
91124,Other
91213,Other
91214,Other
91215,Other
91219,Other
91221,Other
91222,Other
91223,Other
91314,Other
91318,Other
