Item,LifeTime,ScrapValuePct,Depri,DepriCalc
AC,24,0.2,3.3,3.33333333333333
Bike,15,0.5,3.3,3.33333333333333
Car,9,0.74,2.9,2.88888888888889
Car_Motor,90,0,1.1,1.11111111111111
Car_Tire,2.7,0.25,30,27.7777777777778
Cellphone,8,0.5,6.3,6.25
Computer,16,0.3,4.4,4.375
Fan,30,0.05,3.2,3.16666666666667
Freezer,30,0.2,2.7,2.66666666666667
Motorcycle,10,0.59,4.1,4.1
Other,,,3.1,
Oven,30,0.1,3,3
RadioCassette,50,0,2,2
Refrigrator,40,0.14,2.2,2.15
SewingM,50,0.3,1.4,1.4
Telephone,50,0,2,2
TV,30,0.25,2.5,2.5
Vacuum,30,0.22,3.2,2.6
VCR_DVD,30,0.1,3,3
Washer,24,0.24,3.2,3.16666666666667
