Year,Table,StartCode,EndCode,HHID,Code,a,b,BuyingMethod,Education_Exp,Sale
1363,P3S09,72114,72170,ADDRESS,COL1,COL3,,,COL4,COL5
1364,P3S09,72114,72170,ADDRESS,COL1,COL3,,,COL4,COL5
1365,P3S09,72114,72170,ADDRESS,COL1,COL3,,,COL4,COL5
1366,P3S09,72114,72170,ADDRESS,COL1,COL3,,,COL4,COL5
1367,P3S09,72114,72170,ADDRESS,COL1,COL3,,,COL4,COL5
1368,P3S09,72114,72170,ADDRESS,COL1,COL3,,,COL4,COL5
1369,P3S09,72114,72170,ADDRESS,COL1,COL3,COL4,,COL5,COL6
1370,P3S09,72114,72191,ADDRESS,COL1,COL3,COL4,,COL5,COL6
1371,P3S09,72114,72191,ADDRESS,COL1,COL3,COL4,,COL5,COL6
1372,P3S09,72114,72191,ADDRESS,COL1,COL3,COL4,,COL5,COL6
1373,P3S09,72114,72191,ADDRESS,COL1,COL3,COL4,,COL5,COL6
1374,P3S09,72114,72191,ADDRESS,COL1,COL3,,,COL4,COL5
1375,P3S09,72114,72191,ADDRESS,COL1,COL3,,,COL4,COL5
1376,P3S09,72114,72191,ADDRESS,COL1,COL3,,,COL4,COL5
1377,P3S09,72114,72191,ADDRESS,COL1,COL3,,,COL4,COL5
1378,P3S09,72114,72191,ADDRESS,COL1,COL3,,,COL4,COL5
1379,P3S09,72114,72191,ADDRESS,COL1,COL3,,,COL4,COL5
1380,P3S09,72114,72191,ADDRESS,COL1,COL3,,,COL4,COL5
1381,P3S09,72114,72191,ADDRESS,COL1,COL3,,,COL4,COL5
1382,P3S09,72114,72191,ADDRESS,COL1,COL3,,,COL4,COL5
1383,P3S13,101111,105115,ADDRESS,COL1,COL3,,,COL4,COL5
1384,P3S13,101111,105115,Address,DYCOL01,DYCOL02,,DYCOL03,DYCOL04,DYCOL05
1385,P3S13,101111,105115,ADDRESS,DYCOL01,DYCOL02,,DYCOL03,DYCOL04,DYCOL05
1386,P3S13,101111,105115,Address,DYCOL01,DYCOL02,,DYCOL03,DYCOL04,DYCOL05
1387,P3S13,101111,105115,Address,DYCOL01,DYCOL02,,DYCOL03,DYCOL04,DYCOL05
1388,P3S13,101111,105115,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1389,P3S13,101111,105115,address,dycol01,dycol02,dycol03,dycol04,dycol05,dycol06
1390,P3S13,101111,105115,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1391,P3S13,101111,105115,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1392,P3S13,101111,105115,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1393,P3S13,101111,105115,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1394,P3S13,101111,105115,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1395,P3S13,101111,105115,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1396,P3S13,101111,105115,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1397,P3S13,101111,105115,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1398,P3S13,101111,105115,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1399,P3S13,101111,105115,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
