Year,Table,StartCode,EndCode,HHID,Code,FinServicesExp
1363,,,,,,
1364,,,,,,
1365,,,,,,
1366,,,,,,
1367,,,,,,
1368,,,,,,
1369,,,,,,
1370,,,,,,
1371,,,,,,
1372,,,,,,
1373,,,,,,
1374,,,,,,
1375,,,,,,
1376,,,,,,
1377,,,,,,
1378,,,,,,
1379,,,,,,
1380,,,,,,
1381,,,,,,
1382,,,,,,
1383,,,,,,
1384,P3S13,125111,126212,Address,DYCOL01,DYCOL04
1385,P3S13,125111,126212,ADDRESS,DYCOL01,DYCOL04
1386,P3S13,125111,126212,Address,DYCOL01,DYCOL04
1387,P3S13,125111,126212,Address,DYCOL01,DYCOL04
1388,P3S13,125111,126212,Address,DYCOL01,DYCOL05
1389,P3S13,125111,126212,address,dycol01,dycol05
1390,P3S13,125111,126212,Address,DYCOL01,DYCOL05
1391,P3S13,125111,126212,Address,DYCOL01,DYCOL05
1392,P3S13,125111,126212,Address,DYCOL01,DYCOL05
1393,P3S13,125111,126212,Address,DYCOL01,DYCOL05
1394,P3S13,125111,126212,Address,DYCOL01,DYCOL05
1395,P3S13,125111,126212,Address,DYCOL01,DYCOL05
1396,P3S13,125111,126212,Address,DYCOL01,DYCOL05
1397,P3S13,125111,126212,Address,DYCOL01,DYCOL05
1398,P3S13,125111,126212,Address,DYCOL01,DYCOL05
1399,P3S13,125111,126212,Address,DYCOL01,DYCOL05
