FoodType,SheetName,KCalories,Protein
Almonds,Almonds,5.79,0.21
Beans,Beans,3,0.1
BiscuitsCake,BiscuitsCake,2.57,0.06
Bologna,Bologna,2.47,0.15
Bread,Bread,2.5,0.10125
CannedMeat,CannedMeat,2.5,0.22
Cheese,Cheese,2.5,0.333333333333333
Chicken,Chicken,2,0.22
chickenbarbecue,chickenbarbecue,2.26,0.23
Chickpeas,Chickpeas,3.64,0.19
Cookie,Cookie,5.02,0.03
Cream,Cream,1.96,0.027
Curd,Curd,0.98,0.11
DriedFigs,DriedFigs,2.39,0.03
DriedPlums,DriedPlums,2.3,0.02
Egg,Egg,1.4,0.0882352941176471
ExtraVegetables,ExtraVegetables,0.28,0.04
Fish,Fish,1,0.22
Fruit,Fruit,0.5,0
hamburger,hamburger,3.32,0.14
Ketchup,Ketchup,1.12,0.01
MayonnaiseSauce,MayonnaiseSauce,3.9,0.01
Meat,Meat,2.5,0.225
Milk,Milk,0.6,0.0321428571428571
Nuts,Nuts,6,0.2
Oil,Oil,8,0
Olives,Olives,1.3,0.01
Onion,Onion,0.04,0.01
Pickle,Pickle,0.01,0.003
Potato,Potato,0.9,0.03
Rice,Rice,3.56,0.09
Sausage,Sausage,3.46,0.14
Spaghetti,Spaghetti,3.6,0.0642857142857143
Spices,Spices,2.51,0.01
Sugar,Sugar,4,0.03
Tea,Tea,0.01,0.001
Vegetables,Vegetables,0.5,0.04
Wheat,Wheat,3.4,0.13
Yogurt,Yogurt,1.2,0.04
