Geo4,Geo2,CapitalCounty,ProvinceFa,CountyFa,CountyCapital,MOICode,Pop85,Pop90,Pop95,EstYear,EstDateMOI,CountyEn,ProvinceEn,OldNameFa,OldNameEn,PrevCountyName,IGeo4,New,Vijeh,VijehYear
0001,00,Yes,مرکزی,اراک,اراک,2,615702,599634,591756,1316,1316,Arak,Markazi,,,,0001,,No,
0002,00,No,مرکزی,آشتیان,آشتیان,162,21121,17105,16357,1356,1356,Ashtian,Markazi,,,,0002,,No,
0003,00,No,مرکزی,تفرش,تفرش,103,48591,25912,24913,1336,1336,Tafresh,Markazi,,,,0003,,No,
0004,00,No,مرکزی,خمین,خمین,124,110195,107368,105017,1337,1337,Khomein,Markazi,,,,0004,,No,
0005,00,No,مرکزی,دلیجان,دلیجان,176,44377,48986,51621,1358,1358,Delijan,Markazi,,,,0005,,No,
1101,11,No,سیستان و بلوچستان,ایرانشهر,ایرانشهر,84,268400,219796,254314,1326,1326,Iranshahr,SistanAndBaluchestan,,,,1101,,Yes,1386
0007,00,No,مرکزی,شازند,شازند,189,120102,117746,117571,1359,1359,Shazand,Markazi,,,,0007,,No,
0009,00,No,مرکزی,محلات,محلات,80,49246,53381,55342,1325,1325,Mahallat,Markazi,,,,0009,,No,
0010,00,No,مرکزی,زرندیه,مامونیه,305,58387,57153,63907,1381,1381,Zarandieh,Markazi,,,ساوه,0006,*,No,
0011,00,No,مرکزی,کمیجان,کمیجان,306,45723,39340,36441,1381,1381,Komeijan,Markazi,,,اراک,0001,*,No,
0012,00,No,مرکزی,خنداب,خنداب,344,,58262,54018,1386,1386,Khondab,Markazi,,,اراک,0001,*,No,
0013,00,No,مرکزی,فراهان,فرمهین,396,,30042,28994,1388,1388,Farahan,Markazi,,,تفرش,0003,*,No,
0101,01,No,گیلان,آستارا,آستارا,119,79874,86757,91257,1337,1337,Astara,Gilan,,,,0101,,No,
0102,01,No,گیلان,آستانه اشرفیه,آستانه اشرفیه,178,108092,105526,108130,1358,1358,Astane-ye-Ashrafiyeh,Gilan,,,,0102,,No,
0103,01,No,گیلان,بندر انزلی,بندر انزلی,62,133134,138004,139016,1323,1323,Bandar-e-Anzali,Gilan,,,,0103,,No,
0104,01,No,گیلان,تالش,هشتپر,63,180485,189933,200649,1323,1323,Talesh,Gilan,طوالش,Tavalesh,,0104,,No,
0105,01,Yes,گیلان,رشت,رشت,23,857606,918445,956971,1316,1316,Rasht,Gilan,,,,0105,,No,
0106,01,No,گیلان,رودبار,رودبار,126,104102,100943,94720,1338,1338,Rudbar,Gilan,,,,0106,,No,
0107,01,No,گیلان,رودسر,رودسر,108,146057,144366,147399,1337,1337,Rudsar,Gilan,,,,0107,,No,
0108,01,No,گیلان,صومعه‌سرا,صومعه‌سرا,127,130802,127757,125074,1338,1338,Some'e-sara,Gilan,,,,0108,,No,
0109,01,No,گیلان,فومن,فومن,68,97400,93737,92310,1323,1323,Fuman,Gilan,,,,0109,,No,
0110,01,No,گیلان,لنگرود,لنگرود,125,133956,137272,140686,1338,1338,Langrud,Gilan,,,,0110,,No,
0111,01,No,گیلان,لاهیجان,لاهیجان,69,162898,168829,167544,1324,1324,Lahijan,Gilan,,,,0111,,No,
0112,01,No,گیلان,شفت,شفت,250,63604,58543,54226,1374,1374,Shaft,Gilan,,,,0112,,No,
0113,01,No,گیلان,املش,املش,278,46398,44261,43225,1376,1376,Amlash,Gilan,,,رودسر,0107,*,No,
0114,01,No,گیلان,رضوانشهر,رضوانشهر,270,64574,66909,69865,1376,1376,Rezvanshahr,Gilan,,,تالش,0104,*,No,
0115,01,No,گیلان,سیاهکل,سیاهکل,281,47788,47096,46975,1376,1376,Siahkal,Gilan,,,لاهیجان,0111,*,No,
0116,01,No,گیلان,ماسال,ماسال,272,48091,52496,52649,1376,1376,Masal,Gilan,,,تالش,0104,*,No,
0601,06,No,خوزستان,آبادان,آبادان,54,277261,271484,298090,1321,1321,Abadan,Khuzestan,,,,0601,,Yes,1386
1010,10,No,اصفهان,کاشان,کاشان,37,302637,323371,364482,1316,1316,Kashan,Isfahan,,,,1010,,Yes,
0204,02,No,مازندران,بهشهر,بهشهر,101,156195,155247,168769,1333,1333,Behshahr,Mazandaran,,,,0204,,No,
1014,10,No,اصفهان,نجف‌آباد,نجف‌آباد,114,282430,300288,319205,1337,1337,Najafabad,Isfahan,,,,1014,,Yes,1391
0206,02,Yes,مازندران,رامسر,رامسر,174,68163,68323,74179,1358,1358,Ramsar,Mazandaran,,,,0206,,No,
0207,02,No,مازندران,ساری,ساری,27,496360,478167,504298,1316,1316,Sari,Mazandaran,,,,0207,,No,
0208,02,No,مازندران,سوادکوه,پل سفید,188,67920,64378,43913,1359,1359,Savadkuh,Mazandaran,,,,0208,,No,
0210,02,No,مازندران,قائم‌شهر,قائم‌شهر,72,295135,320741,309199,1324,1324,Qaemshahr,Mazandaran,,,,0210,,No,
0214,02,No,مازندران,نور,نور,130,105894,109281,121531,1339,1339,Nur,Mazandaran,,,,0214,,No,
0215,02,No,مازندران,نوشهر,نوشهر,74,118481,128467,138913,1325,1325,Noshahr,Mazandaran,,,,0215,,No,
0216,02,No,مازندران,بابلسر,بابلسر,200,175302,124323,135191,1368,1368,Babolsar,Mazandaran,,,,0216,,No,
0218,02,No,مازندران,محمودآباد,محمود‌آباد,244,90502,96019,98407,1374,1374,Mahmudabad,Mazandaran,,,,0218,,No,
0219,02,No,مازندران,نکا,نکا,246,105652,111944,119511,1374,1374,Neka,Mazandaran,,,,0219,,No,
0220,02,No,مازندران,چالوس,چالوس,256,122563,122736,116542,1375,1375,Chalus,Mazandaran,,,نوشهر,0215,*,No,
0221,02,No,مازندران,جویبار,جویبار,268,70419,73554,77576,1376,1376,Juybar,Mazandaran,,,قائم‌شهر,0210,*,No,
0222,02,No,مازندران,گلوگاه,گلوگاه,332,39461,38847,40078,1384,1384,Galugah,Mazandaran,,,بهشهر,0204,*,No,
0223,02,No,مازندران,فریدونکنار,فریدونکنار,342,,57980,60031,1386,1386,Fereydunkenar,Mazandaran,,,بابلسر,0216,*,No,
0224,02,No,مازندران,عباس‌آباد,عباس‌آباد,375,,47591,52832,1388,1388,AbbasAbad,Mazandaran,,,تنکابن,0205,*,No,
0225,02,No,مازندران,میان‌دورود,سورک,390,,55776,55053,1389,1389,Miandorud,Mazandaran,,,ساری,0207,*,No,
0226,02,No,مازندران,سیمرغ,کیاکلا,418,,,19376,1391,1391/11/01,Simorgh,Mazandaran,کیاکلا,Kiakala,قائم‌شهر,0210,*,No,
0227,02,No,مازندران,سوادکوه شمالی,شیرگاه,421,,,24834,1392,1391/12/29,Savadkuh-e-Shomali,Mazandaran,,,سوادکوه,0208,*,No,
0228,02,No,مازندران,کلاردشت,کلاردشت,429,,,23648,1392,1392/05/10,Kelardasht,Mazandaran,,,چالوس,0220,*,No,
0302,03,No,آذربایجان شرقی,اهر,اهر,64,149530,150111,154530,1323,1323,Ahar,EastAzerbaijan,,,,0302,,No,
0303,03,Yes,آذربایجان شرقی,تبریز,تبریز,16,1579312,1695094,1773033,1316,1316,Tabriz,EastAzerbaijan,,,,0303,,No,
