Year,Table,StartCode,EndCode,HHID,Code,BuyingMethod,House_Exp,MainCodes,RM
1363,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1364,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1365,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1366,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1367,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1368,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1369,P3S03,31117,31172,ADDRESS,COL1,,COL6,,
1370,P3S03,31117,31172,ADDRESS,COL1,,COL5,,
1371,P3S03,31117,31172,ADDRESS,COL1,,COL5,,
1372,P3S03,31117,31172,ADDRESS,COL1,,COL5,,
1373,P3S03,31117,31172,ADDRESS,COL1,,COL5,,
1374,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1375,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1376,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1377,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1378,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1379,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1380,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1381,P3S03,31117,31172,ADDRESS,COL1,,COL4,,
1382,P3S03,31117,31172,ADDRESS,COL1,,COL4,"31117,31172,31139,31150,31140,","31172,31139,"
1383,P3S04,41111,42215,ADDRESS,COL1,,COL4,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1384,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1385,P3S04,41111,42215,ADDRESS,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1386,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1387,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1388,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1389,P3S04,41111,42215,address,dycol01,dycol03,dycol04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1390,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1391,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1392,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1393,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1394,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1395,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1396,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1397,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1398,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
1399,P3S04,41111,42215,Address,DYCOL01,DYCOL03,DYCOL04,"42111,42212,41111,41112,42213,42214,","42212,41111,41112,"
