Code,JobNameFa,ISCO88_3,TypeX
111,قانونگذاران,110,NRA
112,مقامات عاليرتبه دولت,110,NRA
113,دهداران ، اعضائ شورائ اسلامي ده ، كدخدايان,113,NRI
114,مقامات عاليرتبه سازمانهائ دارائ منافع خاص,114,NRI
121,روسائ اداره ومديران عامل موسسات,141,NRA
122,مديران وروسائ بخش توليد(كالاوخدمت ),142,NRA
123,مديران وروسائ بخش خدمات وپشتيباني,142,NRA
131,سايرروساومديران,142,NRA
211,فيزيك دانان ، شيمي دانان وديگرمتخصصان مربوط,211,NRA
212,رياضي دانان ، آمارشناسان ومتخصصان مربوط,212,NRA
213,متخصصان كامپيوتر,213,NRA
214,آرشيتكت ها، مهندسان ومتخصصان مربوط,214,NRA
221,متخصصان علوم زيستي,221,NRA
222,متخصصان امورپزشكي (بجزپرستارئ ),222,NRA
223,پرستاران وماماهائ متخصص,223,NRA
231,متخصصان آموزش در دانشگاه‌ها و ساير موسسات آموزش عالي,231,NRA
232,متخصصان آموزش دوره راهنمايي ومتوسطه,232,NRA
233,متخصصان آموزش دوره ابتدايي وپيش دانشگاهي,233,NRI
234,متخصصان آموزش درمدارس استثنايي,234,NRI
235,سايرمتخصصين آموزشي,235,NRI
241,متخصصان كاروكسب,241,NRA
242,متخصصان امورحقوقي,242,NRA
243,متخصصان اموربايگاني ، كتابدارئ واطلاع رساني,243,NRA
244,متخصصان علوم اجتماعي,244,NRA
245,نويسندگان وهنرمندان,245,NRA
246,متخصصان امورمذهبي,246,NRI
311,تكنسينهائ علوم فيزيكي ومهندسي,311,NRA
312,تكنسين هائ كامپيوتر,312,RC
313,اپراتورهائ تجهيزات اپتيكي والكترونيكي,313,NRA
314,كنترل كنندگان وتكنسين هائ كشتي وهواپيما,314,NRA
315,بازرسان ايمني وكنترل كيفيت,315,NRA
321,تكنسين هائ علوم زيستي,321,NRA
322,دستياران امورپزشكي وبهداشتي غيرسنتي (بجزپرستارئ ),322,NRA
323,كمك پرستاران وكمك ماماها,323,NRA
324,پزشكان سنتي,324,NRA
331,كمك مربيان آموزش ابتدايي,331,NRI
332,كمك مربيان آموزش پيش دبستاني,332,NRI
333,كمك مربيان آموزش درمدارس استثنايي,333,NRI
334,سايركمك كارشناسان آموزشي,334,NRI
341,كمك كارشناسان درامورمالي وفروش,341,NRI
342,نمايندگان خدمات كسب وكارودلالان تجارئ,342,NRI
343,تكنسين هاوكمك كارشناسان امورادارئ,343,RC
344,كمك كارشناسان امورگمركي ، مالياتي ، پستي وصدورمجوز,344,RC
345,كارآگاهان خصوصي,345,NRI
346,سايركمك كارشناسان وتكنسينهائ اموراجتماعي وفرهنگي,346,NRI
347,كمك كارشناسان وطراحان امورهنرئ ، تفريحي وورزشي,347,NRI
348,كمك كارشناسان امورمذهبي وخيريه,348,NRI
411,منشي هاوماشين نويسهاواپراتورهائ كامپيوتر,411,RC
412,كارمندان امورحسابدارئ وآمار,412,RC
413,كاركنان امورانباردارئ وحمل ونقل,413,RC
414,كاركنان اموربايگاني ، كتابخانه وپست,414,RC
419,سايركارمندان اموردفترئ,419,RC
421,صندوقداران ، تحويل داران وكاركنان دفترئ مربوط,421,RC
422,كاركنان ارائه اطلاعات به مشترئ,422,RC
511,راهنمايان ، مهمانداران وسايركاركنان امورمسافرتي,511,NRM
512,پيشخدمتها(دررستوران وهتل ) وآشپزها,512,NRM
513,كاركنان مراقبتهائ شخصي دربيمارستان ومنازل,513,NRM
514,سايركاركنان خدمات شخصي,514,NRM
515,طالع بينان ، پيشگويان وكاركنان مربوط,515,NRI
516,آتش نشانهاوسايركاركنان خدمات حفاظتي (بجزنيروئ انتظامي ),516,NRM
517,آتش نشانهاوسايركاركنان خدمات حفاظتي (بجزنيروئ انتظامي ),517,NRM
521,مانكن هائ مدوديگرمدلها,521,NRM
522,فروشندگان فروشگاههاومعرفي كنندگان كالا,522,NRI
523,فروشندگان دردكه هائ فروش,523,NRM
611,زراعتكاران ، سبزيكاران وباغداران,611,NRM
612,پرورش دهندگان دام ، طيور، زنبورعسل ، كرم ابريشم وسايرحيوانات,612,NRM
613,كشاورزان توليدكننده محصولات كشاورزئ ودامي,613,NRM
614,كشاورزان توليدكننده محصولات كشاورزئ ودامي,614,NRM
615,كاركنان ماهيگيرئ وشكار,615,NRM
621,كاركنان كشاورزئ وماهيگيرئ خودمعاش,621,NRM
711,معدن چيان ، مسئولين انفجار، سنگبرهاوسنگتراشها,711,NRM
712,كاركنان اسكلت بندئ ، راه وساختمان ومشاغل مربوط,712,NRM
713,كاركنان نازك كارئ ، لوله كش هاوبرقكاران ساختمان,713,NRM
714,نصابان ، تميزكنندگان نمائ ساختمان ، نقاشان وجلاكاران,714,NRM
721,قالب گيران فلزئ ، جوشكارها، ورق كارهائ فلزئ ، مسئولين آماده سازئ,721,NRM
722,آهنگران ، ابزارسازان ، تراشكاران وكاركنان مشاغل مربوط,722,RM
723,مكانيسين هاومكانيك هائ وسايل نقليه وماشين آلات,723,NRM
724,مكانيسين ها، تعميركارهاونصب كنندگان وسايل برقي والكترونيكي,724,NRM
731,سازندگان ابزاردقيق آلات موسيقي وجواهرسازان,731,NRM
732,سفالگران ، آجرپزان ، شيشه گرهاو كاركنان مشاغل مربوط,732,RM
733,كاركنان صنايع دستي چوبي ، پارچه ايي ، چرمي وسايرمواد,733,NRM
734,كاركنان امورچا پومشاغل مربوط,734,RM
741,كاركنان صنايع عمل آورئ موادغذايي و مشاغل مربوط,741,RM
742,عمل آورندگان چوب ومحصولات چوبي,742,NRM
743,كاركنان نساجي ، خياطان ومشاغل مربوط,743,NRM
744,عمل آورندگان پوست ، چرم وتوليدكفش,744,RM
745,توليدكنندگان سايرصنايع,745,NRM
750,قالي بافان ، گليم بافان وزيلوبافان دستي,750,NRM
