Code,JobNameFa,ISCO08_4,TypeX,ISCO88_3
0111,نيروهاي مسلح (پرسنل کادر),0410,RC,011
0112,"سربازان , درجه داران و افسران وظيفه نيروهاي نظامي و انتظامي",0510,RC,011
111,نيروهاي مسلح (پرسنل کادر),0410,RC,011
112,"سربازان , درجه داران و افسران وظيفه نيروهاي نظامي و انتظامي",0510,RC,011
1100,قانون‌گزاران و مقامات عالي‌رتبه دولت,1115,NRI,110
1110,قانون‌گزاران,1115,NRI,110
1120,مقامات عالي‌رتبه دولت,1115,NRI,110
1130,کدخدايان و روساي سنتي روستاها,1113,NRI,113
1141,مقامات عالي‌رتبه تشکل‌ها و احزاب سياسي,1114,NRI,114
1142,مقامات عالي‌رتبه تشکل‌هاي کارفرمايي، کارگري و ديگر تشکل‌هاي داراي منافع اقتصادي,1114,NRI,114
1143,مقامات عالي‌رتبه تشکل‌هاي انسان دوستانه و ديگر سازمان‌هاي داراي منافع خاص,1114,NRI,114
1210,روساي اداره و مديران عامل موسسات,1120,NRA,121
1221,مديران در فعاليت‌هاي کشاورزي، شکار، جنگلداري و ماهيگيري,1311,NRA,122
1222,مديران در فعاليت‌هاي صنعتي,1321,NRA,122
1223,مديران در فعاليت‌هاي ساختماني,1323,NRA,122
1224,مديران در فعاليت‌هاي عمده‌فروشي و خرده‌فروشي,1420,NRA,122
1225,مديران در فعاليت‌هاي هتل‌داري و رستوران,1411,NRA,122
1226,مديران در فعاليت‌هاي حمل و نقل، انبارداري و ارتباطات,1324,NRA,122
1227,مديران در فعاليت‌هاي خدمات کار و کسب,1349,NRA,122
1228,مديران در فعاليت‌هاي خدمات شخصي، پاکيزه سازي و خدمات مربوط,1439,NRA,122
1229,مدیران در فعالیت‌های خدمات آموزشی و فرهنگی,1431,NRA,122
1231,مديران در فعاليت‌هاي خدمات کار و کسب,1349,NRA,123
1232,مديران در فعاليت‌هاي خدمات کار و کسب,1349,NRA,123
1233,مديران در فعاليت‌هاي خدمات کار و کسب,1349,NRA,123
