Code,JobNameFa,ISCO08_4,TypeX
1114,مقامات ارشد تشکل‌های دارای اهداف خاص,1114,NRI
1115,قانون‌گذاران و مقامات ارشد دولتی,1115,NRI
1120,مدیران عامل و مدیران ارشد اجرايي,1120,NRA
1212,مدیران منابع انسانی,1212,NRA
1214,مدیران امور مالی و بیمه,1214,NRA
1215,مدیران امور اداری، حقوقي و برنامه‌ریزی,1215,NRA
1219,مدیران خدمات سازماني و امور اداری، طبقه‌بندی‌نشده در جای دیگر,1219,NRA
1221,مدیران فروش و بازاريابی,1221,NRA
1222,مدیران تبلیغات و روابط عمومی,1222,NRA
1223,مدیران تحقیق و توسعه,1223,NRA
1311,مدیران تولید در کشاورزی و جنگل‌داری,1311,NRA
1312,مدیران تولید در آبزی‌پروری و ماهیگیری,1312,NRI
1321,مدیران تولید صنعتی,1321,NRA
1322,مدیران استخراج معادن,1322,NRA
1323,مدیران اجرای طرح‌های عمرانی یا ساختمان‌سازی,1323,NRA
1324,مدیران تهیه، توزیع، حمل‌ونقل و انبارداری,1324,NRA
1330,مدیران خدمات فناوری اطلاعات و ارتباطات,1330,NRA
1341,مدیران ارائه خدمات مراقبت از کودکان,1341,NRA
1342,مدیر مهد کودک,1342,NRA
1343,مدیران ارائه خدمات مراقبت از سالمندان,1343,NRI
1344,مدیران ارائه خدمات رفاه و تأمین اجتماعی,1344,NRA
1345,مدیران آموزش,1345,NRA
1346,مدیران شعب ارائه خدمات مالی و بیمه,1346,NRA
1349,مدیران ارائه خدمات حرفه‌ای و تخصصی، طبقه‌بندی‌نشده در جای دیگر,1349,NRA
1411,مدیران هتل‌ها,1411,NRA
1412,مدیران رستوران‌ها,1412,NRI
1420,مدیران عمده‌فروشی‌ها و خرده‌فروشی‌ها,1420,NRA
1431,مدیران مراکز ورزشی، تفریحی و فرهنگی,1431,NRA
1439,مدیران خدمات طبقه‌بندی‌نشده در جای دیگر,1439,NRA
2111,فيزيك‌دانان و اخترشناسان,2111,NRA
2112,متخصصان هواشناسي,2112,NRA
2113,شيمي‌دانان,2113,NRA
2114,زمين‌شناسان و متخصصان ژئوفيزيك,2114,NRA
2120,رياضي‌دانان، آمار بیمه‌شناسان و آمارشناسان,2120,NRA
2131,زيست‌شناسان، گياه‌شناسان، جانورشناسان، و متخصصان مرتبط,2131,NRA
2132,متخصصان كشاورزي، دامدار‌ی، جنگل‌داری و ماهیگیری,2132,NRA
2134,متخصصان و مهندسان حفاظت محیط‌زیست,2134,NRA
2141,مهندسان صنایع و تولید,2141,NRA
2142,مهندسان عمران,2142,NRA
2144,مهندسان مكانيك,2144,NRA
2145,مهندسان شيمي,2145,NRA
2146,مهندسان معدن، مهندسان متالورژی و فلزشناسی و متخصصان مرتبط,2146,NRA
2149,متخصصان علوم مهندسی، طبقه‌بندی‌نشده در جای دیگر,2149,NRA
2151,مهندسان برق,2151,NRA
2152,مهندسان الكترونيك,2152,NRA
2153,مهندسان مخابرات,2153,NRA
2161,معماران ساختمان,2161,NRA
2162,معماران محوطه‌سازی,2162,NRA
2163,طراحان محصولات (طراحان صنعتی) و طراحان پوشاک,2163,NRA
2164,طراحان و برنامه‌ریزان شهری و ترافیک,2164,NRA
2165,متخصصان نقشه‌کشی و نقشه‌برداری,2165,NRA
2166,طراحان گرافیک و چندرسانه‌ای‌ها,2166,NRA
2211,پزشكان عمومی,2211,NRA
2212,پزشكان متخصص,2212,NRA
2221,پرستاران متخصص,2221,NRA
2222,ماماهای متخصص,2222,NRA
2230,متخصصان پزشكی سنتی و تکمیلی,2230,NRA
2240,متخصصان پیراپزشكی,2240,NRA
2250,دامپزشكان,2250,NRA
2261,دندان‌پزشكان,2261,NRA
2262,داروسازان و داروخانه‌داران (به‌‌جز داروشناسان),2262,NRI
