NamePersian,CapitalNameFa,NameTransliteration,NameEnglish,NameWikipedia,admin1Name_en,CapitalNameTransliteration,SCICode,SCINo,MOICode,MIACode,ISO-3166-2-Number,ISO-3166-2-Code,DevCode,Fips,GN,admin1Pcode,MAPOBJECTID,EstablishedPYear,EstablishedGYear,Area,Population85SCI,Population89SCI,Population90SCI,Population95SCI,UrbanPopShare,CountyNo89,CountyNo90,CountyNo93,CountyNoSCI,DistrictNoSCI,DistrictNo90,DehestanNo89,DehestanNoSCI,CityNo89,CityNoSCI,AbadiNo,CountOfCounties,Province
مرکزی,اراک,Markazī,Markazi,Markazi,Markazi,Arāk,00,0,27,18,22,IR-22,12,34,34,IR019,19,1326,1947,29127,1326826,1392434,1413959,1429475,73.9,12,12,12,12,21,23,63,66,31,33,1210,12,مرکزی
گیلان,رشت,Gīlān,Gilan,Gilan,Gilan,Rasht,01,1,24,17,19,IR-19,10,8,8,IR007,7,1316,1937,14042,2381063,2453468,2480874,2530696,60.3,16,16,16,16,43,43,109,109,51,52,2591,16,گیلان
مازندران,ساری,Māzandarān,Mazandaran,Mazandaran,Mazandaran,Sārī,02,2,26,28,21,IR-21,11,35,35,IR020,20,1316,1937,23842,2893087,3037335,3073943,3283582,54.7,19,19,20,20,50,55,122,129,53,58,2975,19,مازندران
آذربایجان شرقی,تبریز,Āz̄arbāyjān-e Sharqī,East Azarbaijan,East Azerbaijan,East Azerbaijan,Tabrīz,03,3,1,20,1,IR-01,1,33,33,IR005,5,1316,1937,45650,3527267,3691270,3724620,3909652,69.2,20,20,20,20,44,44,142,142,58,59,2712,20,آذربایجان شرقی
آذربایجان غربی,ارومیه,Āz̄arbāyjān-e Gharbī,West Azarbaijan,West Azerbaijan,West Azerbaijan,Orūmīyeh,04,4,2,31,2,IR-02,2,1,1,IR029,29,1316,1937,37411,2831779,3016301,3080576,3265219,62.7,17,17,17,17,40,40,113,113,39,42,3266,17,آذربایجان غربی
کرمانشاه,کرمانشاه,Kermānshāh,Kermanshah,Kermanshah,Kermanshah,Kermānshāh,05,5,21,30,17,IR-17,9,13,13,IR014,14,1316,1937,24998,1842457,1905792,1945227,1952434,69.7,14,14,14,14,30,31,85,86,29,31,2642,14,کرمانشاه
خوزستان,اهواز,Khūzestān,Khuzestan,Khuzestan,Khuzestan,Ahvāz,06,6,12,25,10,IR-10,5,15,15,IR015,15,1316,1937,64055,4192598,4471487,4531720,4710509,71,24,24,27,27,55,67,130,144,62,77,4055,24,خوزستان
فارس,شیراز,Fārs,Fars,Fars,Fars,Shīrāz,07,7,16,21,14,IR-14,7,7,7,IR006,6,1316,1937,122608,4220721,4528513,4596685,4851274,67.6,29,29,29,29,83,83,204,204,93,101,4230,29,فارس
کرمان,کرمان,Kermān,Kerman,Kerman,Kerman,Kermān,08,8,20,19,15,IR-15,8,29,29,IR013,13,1316,1937,181785,2584834,2947345,2938988,3164718,57.5,23,23,23,23,54,58,147,151,64,71,5178,23,کرمان
خراسان رضوی,مشهد,Khorāsān-e Razavī,Razavi Khorasan,Razavi Khorasan,Razavi Khorasan,Mashhad,09,9,11,12,30,IR-30*,4,42,42,IR024,24,1316,1937,118854,5515980,5940766,5994402,6434501,71.9,27,27,28,28,69,70,163,164,72,72,3335,27,خراسان رضوی
