Year,PubWageTable,PrvWageTable,AggrIncTable,BussIncTable,OthrIncTable,SubsidyTable,HHID
1363,P4S1,P4S2,P4S3,P4S4,P4S5,,ADDRESS
1364,P4S1,P4S2,P4S3,P4S4,P4S5,,ADDRESS
1365,P4S1,P4S2,P4S3,P4S4,P4S5,,ADDRESS
1366,P4S1,P4S2,P4S3,P4S4,P4S5,,ADDRESS
1367,P4S1,P4S2,P4S3,P4S4,P4S5,,ADDRESS
1368,P4S1,P4S2,P4S3,P4S4,P4S5,,ADDRESS
1369,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1370,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1371,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1372,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1373,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1374,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1375,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1376,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1377,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1378,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1379,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1380,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1381,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1382,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1383,P4S1,P4S1,P4S2,P4S2,P4S3,,ADDRESS
1384,P4S01,P4S01,P4S02,P4S02,P4S03,,Address
1385,P4S01,P4S01,P4S02,P4S02,P4S03,,ADDRESS
1386,P4S01,P4S01,P4S02,P4S02,P4S03,,Address
1387,P4S01,P4S01,P4S02,P4S02,P4S03,,Address
1388,P4S01,P4S01,P4S02,P4S02,P4S03,,Address
1389,P4S01,P4S01,P4S02,P4S02,P4S03,P4S04,Address
1390,P4S01,P4S01,P4S02,P4S02,P4S03,P4S04,Address
1391,P4S01,P4S01,P4S02,P4S02,P4S03,P4S04,Address
1392,P4S01,P4S01,P4S02,P4S02,P4S03,P4S04,Address
1393,P4S01,P4S01,P4S02,P4S02,P4S03,P4S04,Address
1394,P4S01,P4S01,P4S02,P4S02,P4S03,P4S04,Address
1395,P4S01,P4S01,P4S02,P4S02,P4S03,P4S04,Address
1396,P4S01,P4S01,P4S02,P4S02,P4S03,P4S04,Address
1397,P4S01,P4S01,P4S02,P4S02,P4S03,P4S04,Address
1398,P4S01,P4S01,P4S02,P4S02,P4S03,P4S04,Address
1399,P4S01,P4S01,P4S02,P4S02,P4S03,P4S04,Address
