Year,Table,StartCode,EndCode,HHID,Code,indiv,interest
1363,P4S5,515,518,ADDRESS,COL01,,COL04
1364,P4S5,515,518,ADDRESS,COL01,,COL04
1365,P4S5,515,518,ADDRESS,COL01,,COL04
1366,P4S5,515,518,ADDRESS,COL01,,COL04
1367,P4S5,515,518,ADDRESS,COL01,,COL04
1368,P4S5,515,518,ADDRESS,COL01,,COL04
1369,P4S3,,,ADDRESS,,COL01,COL04
1370,P4S3,,,ADDRESS,,COL01,COL04
1371,P4S3,,,ADDRESS,,COL01,COL04
1372,P4S3,,,ADDRESS,,COL01,COL04
1373,P4S3,,,ADDRESS,,COL01,COL04
1374,P4S3,,,ADDRESS,,COL01,COL04
1375,P4S3,,,ADDRESS,,COL01,COL04
1376,P4S3,,,ADDRESS,,COL01,COL04
1377,P4S3,,,ADDRESS,,COL01,COL05
1378,P4S3,,,ADDRESS,,COL01,COL04
1379,P4S3,,,ADDRESS,,COL01,COL04
1380,P4S3,,,ADDRESS,,COL01,COL04
1381,P4S3,,,ADDRESS,,COL01,COL04
1382,P4S3,,,ADDRESS,,COL01,COL04
1383,P4S3,,,ADDRESS,,COL01,COL04
1384,P4S03,,,Address,,DYCOL01,DYCOL05
1385,P4S03,,,ADDRESS,,DYCOL01,DYCOL05
1386,P4S03,,,Address,,DYCOL01,DYCOL05
1387,P4S03,,,Address,,DYCOL01,DYCOL05
1388,P4S03,,,Address,,DYCOL01,DYCOL05
1389,P4S03,,,Address,,DYCOL01,DYCOL05
1390,P4S03,,,Address,,DYCOL01,DYCOL05
1391,P4S03,,,Address,,DYCOL01,DYCOL05
1392,P4S03,,,Address,,DYCOL01,DYCOL05
1393,P4S03,,,Address,,DYCOL01,DYCOL05
1394,P4S03,,,Address,,DYCOL01,DYCOL05
1395,P4S03,,,Address,,DYCOL01,DYCOL05
1396,P4S03,,,Address,,DYCOL01,DYCOL05
1397,P4S03,,,Address,,DYCOL01,DYCOL05
1398,P4S03,,,Address,,DYCOL01,DYCOL05
1399,P4S03,,,Address,,DYCOL01,DYCOL05
